reference,customer_name,address,latitude,longitude,status,time_window
TV-300001,Coastal Electronics,"25 Pitt St, Hurstville NSW",-33.949285,151.098093,completed,08:00-10:00
TV-300002,Silverline Supplies,"215 Pitt St, Newtown NSW",-33.909712,151.162838,pending,08:00-10:00
TV-300003,Pacific Trading,"322 Burwood Rd, Mascot NSW",-33.941048,151.18233,failed,08:00-10:00
TV-300004,Skyline Pharma,"74 Miller St, Newtown NSW",-33.883961,151.170984,pending,10:00-12:00
TV-300005,Harbour Electronics,"191 Pitt St, Parramatta NSW",-33.811836,151.006657,pending,08:00-10:00
TV-300006,Baywater Beverages,"219 Epping Rd, Mascot NSW",-33.937762,151.200616,pending,14:00-16:00
TV-300007,Baywater Distribution,"358 Epping Rd, Hurstville NSW",-33.975209,151.114075,pending,16:00-18:00
TV-300008,Redwood Supplies,"148 Burwood Rd, Botany NSW",-33.931895,151.204878,completed,10:00-12:00
TV-300009,Silverline Electronics,"21 Anzac Pde, Hurstville NSW",-33.981121,151.101859,pending,12:00-14:00
TV-300010,Harbour Distribution,"297 Epping Rd, Hurstville NSW",-33.959388,151.106075,pending,14:00-16:00
TV-300011,Skyline Textiles,"332 Burwood Rd, Parramatta NSW",-33.832673,151.00916,failed,14:00-16:00
TV-300012,Pacific Trading,"87 Burwood Rd, Hurstville NSW",-33.986297,151.100768,pending,12:00-14:00
TV-300013,Crestview Pharma,"255 Pitt St, Chatswood NSW",-33.787365,151.179116,pending,12:00-14:00
TV-300014,Coastal Hardware,"143 Canterbury Rd, Chatswood NSW",-33.784129,151.197759,pending,14:00-16:00
TV-300015,Kingsway Packaging,"119 Anzac Pde, Alexandria NSW",-33.917263,151.182849,pending,16:00-18:00
TV-300016,Baywater Wholesale,"215 Miller St, Chatswood NSW",-33.80639,151.163364,pending,10:00-12:00
TV-300017,Silverline Supplies,"379 George St, Newtown NSW",-33.880291,151.185599,pending,14:00-16:00
TV-300018,Northern Foods,"206 George St, Ryde NSW",-33.819335,151.101961,pending,10:00-12:00
TV-300019,Summit Wholesale,"1 Burwood Rd, Parramatta NSW",-33.821498,150.983203,pending,16:00-18:00
TV-300020,Coastal Electronics,"193 Parramatta Rd, Sydney NSW",-33.885987,151.197618,pending,12:00-14:00
TV-300021,Harbour Retail,"239 Church St, Botany NSW",-33.961986,151.209657,pending,08:00-10:00
TV-300022,Northern Pharma,"355 Parramatta Rd, Hurstville NSW",-33.957586,151.101445,pending,12:00-14:00
TV-300023,Harbour Textiles,"389 Miller St, Chatswood NSW",-33.789297,151.199766,pending,12:00-14:00
TV-300024,Redwood Wholesale,"396 Victoria Rd, Newtown NSW",-33.903632,151.166082,pending,10:00-12:00
TV-300025,Crestview Textiles,"100 Epping Rd, Mascot NSW",-33.91354,151.212797,pending,10:00-12:00
TV-300026,Kingsway Distribution,"15 George St, Alexandria NSW",-33.902594,151.190023,pending,10:00-12:00
TV-300027,Harbour Trading,"371 Botany Rd, Mascot NSW",-33.907739,151.191289,failed,08:00-10:00
TV-300028,Kingsway Beverages,"248 Burwood Rd, Alexandria NSW",-33.904497,151.189309,completed,12:00-14:00
TV-300029,Northern Foods,"199 Epping Rd, Parramatta NSW",-33.801714,150.985896,pending,10:00-12:00
TV-300030,Harbour Textiles,"370 King St, Ryde NSW",-33.803535,151.096001,pending,10:00-12:00
